date,ETH_price,total_volume,market_cap,coin_name
00:00.0,9.800690787,26473661.6,760648959.2,ethereum
00:00.0,11.97157976,28637679.64,929438076.3,ethereum
00:00.0,11.20642297,26154096.47,870327228.7,ethereum
00:00.0,11.20893669,21083465.44,870802676,ethereum
00:00.0,13.37620667,49863322.39,1039511436,ethereum
00:00.0,14.89359978,41625885.68,1157819809,ethereum
00:00.0,12.28982461,56738456.43,955721344.4,ethereum
00:00.0,12.96689767,30654519.11,1008754618,ethereum
00:00.0,12.52943315,23016882.43,975104638.1,ethereum
00:00.0,10.95623221,41222397.15,856001603.2,ethereum
00:00.0,10.79765034,56331932.5,843946887.9,ethereum
00:00.0,10.43953587,26241552.22,816289545.7,ethereum
00:00.0,10.21749097,17365910.96,799245003.4,ethereum
00:00.0,11.85112269,28692538.04,927407651,ethereum
00:00.0,11.31742768,19752147.76,886765230.1,ethereum
00:00.0,12.40319151,19194415.66,972225642.3,ethereum
00:00.0,11.12762219,25440037.39,872598276.4,ethereum
00:00.0,10.64069143,13369781.43,834753145.1,ethereum
00:00.0,10.96552244,9099233,860590847.1,ethereum
00:00.0,10.37751682,16296116.83,814770808.1,ethereum
00:00.0,11.67625154,23146182.98,917099302.5,ethereum
00:00.0,11.73817083,17227685.67,922332031.7,ethereum
00:00.0,11.88228676,18966041.62,934038009,ethereum
00:00.0,11.35463054,14483801.49,892916961.6,ethereum
00:00.0,11.6360718,11085851.67,915415691.5,ethereum
00:00.0,11.56397763,8250251.461,910108352.6,ethereum
00:00.0,11.51238012,6190954.954,906254482.5,ethereum
00:00.0,11.18688124,8612716.039,881135506.2,ethereum
00:00.0,10.41948469,19160809.11,821026031.5,ethereum
00:00.0,10.66622342,16326497.51,840796803.8,ethereum
00:00.0,10.0295684,12647730.14,790923841,ethereum
00:00.0,9.758944911,14041839.9,769898368.5,ethereum
00:00.0,9.899719595,12961939.64,781106339.1,ethereum
00:00.0,8.814617176,42148632,695943784.2,ethereum
00:00.0,8.668292119,14850316.57,684660770.9,ethereum
00:00.0,7.516812234,22286939.44,593949307.4,ethereum
00:00.0,8.015604593,30653780.44,633611436,ethereum
00:00.0,8.433656021,13178565.12,666925784.5,ethereum
00:00.0,8.206137459,11510142.23,649194329,ethereum
00:00.0,8.555981967,9164981.892,677141041.3,ethereum
00:00.0,9.323170276,23406128.93,738147546.4,ethereum
00:00.0,8.960482405,20650475.77,709720474.8,ethereum
00:00.0,8.696773039,11931697.81,689106961.9,ethereum
00:00.0,8.484150723,14929127.4,672532358,ethereum
00:00.0,8.111040745,12241737,643204549.6,ethereum
00:00.0,7.855106665,12838519.62,623163882.7,ethereum
00:00.0,8.377192624,14263735.84,664843804.3,ethereum
00:00.0,7.995361207,10251449.9,634792414.6,ethereum
00:00.0,7.812751656,9849771.906,620380381.5,ethereum
00:00.0,7.424663266,17588527.34,589953549.1,ethereum
00:00.0,7.72469455,18898653.06,614038719.8,ethereum
00:00.0,7.250216005,10503191.4,576551379.9,ethereum
00:00.0,7.47581761,8232651.036,594731702.5,ethereum
00:00.0,8.892970092,36023474.61,707751631.3,ethereum
00:00.0,8.832454373,16329848.83,703213705.3,ethereum
00:00.0,10.10782117,40531647.26,805073117.8,ethereum
00:00.0,9.285335811,20068196.22,739862094.3,ethereum
00:00.0,9.414136136,16758119.37,750420702.3,ethereum
00:00.0,9.827130178,17630163.28,783653892.6,ethereum
00:00.0,9.277042147,20206557.48,740079043,ethereum
00:00.0,9.381202894,10242971.6,748684467.9,ethereum
00:00.0,9.529202062,14850766.42,760794311.5,ethereum
00:00.0,9.353276546,10349090.13,747045608.4,ethereum
00:00.0,9.350283704,8837274.152,747107780.4,ethereum
00:00.0,9.98130292,14650764.26,797843002.3,ethereum
00:00.0,10.09149229,22804335.07,806976736.5,ethereum
00:00.0,10.58566158,27489270.97,846829870.6,ethereum
00:00.0,10.17609857,18055946.18,814388813,ethereum
00:00.0,9.960446893,8453161.312,797447113.7,ethereum
00:00.0,11.13364598,27963225.28,891725938.7,ethereum
00:00.0,12.15713716,36364157.81,974091672.7,ethereum
00:00.0,13.35361431,62651459.73,1070392165,ethereum
00:00.0,14.71832476,53477909.08,1180254102,ethereum
00:00.0,13.69368343,48337340.57,1098527826,ethereum
00:00.0,13.99924844,24426995.17,1123480271,ethereum
00:00.0,14.24898607,17413663.62,1143985931,ethereum
00:00.0,13.2350366,21271913.58,1063005899,ethereum
00:00.0,12.66434299,41166028.01,1017513902,ethereum
00:00.0,12.50426453,25364775.56,1005116816,ethereum
00:00.0,12.49835341,19032556.07,1005043803,ethereum
00:00.0,11.19174476,53491048.64,900334792.4,ethereum
00:00.0,11.76324561,44051409.77,946689008.5,ethereum
00:00.0,12.38905214,26254518.55,997114649.2,ethereum
00:00.0,12.67843107,13289827.48,1021153612,ethereum
00:00.0,14.00927376,39491270.92,1128785732,ethereum
00:00.0,13.85793783,20161807.32,1117038106,ethereum
00:00.0,13.77433887,9543717.947,1110747962,ethereum
00:00.0,13.84273588,21310804.98,1116709699,ethereum
00:00.0,13.69739426,14233023.49,1105420836,ethereum
00:00.0,13.97052907,9908484.139,1127904559,ethereum
00:00.0,13.94200555,7633717.195,1126059079,ethereum
00:00.0,14.54921695,19688483.52,1175566661,ethereum
00:00.0,14.43177555,14566862.12,1166543235,ethereum
00:00.0,14.44062374,6538415.617,1167724057,ethereum
00:00.0,13.94373393,9751904.434,1127971789,ethereum
00:00.0,13.96046097,9986576.469,1129771063,ethereum
00:00.0,15.69700727,34155133.26,1270814828,ethereum
00:00.0,17.55275029,33190471.73,1421627594,ethereum
00:00.0,18.77037437,57195562.17,1520848129,ethereum
00:00.0,18.42185369,16794245.39,1493198807,ethereum
00:00.0,20.50940041,33609803.06,1663058590,ethereum
00:00.0,15.39739782,176008430.1,1249053417,ethereum
00:00.0,11.19713667,121410542.5,908703581.4,ethereum
00:00.0,12.23058703,68987538.97,992977658,ethereum
00:00.0,11.81483452,79924563.2,959600009.1,ethereum
00:00.0,12.98459788,73815982.1,1055028896,ethereum
00:00.0,12.73775621,157698817,1035382450,ethereum
00:00.0,13.676479,35210083.61,1112128273,ethereum
00:00.0,13.9418969,42975326.33,1134160919,ethereum
00:00.0,14.27628772,13474760.65,1161808478,ethereum
00:00.0,13.84502996,12716765.34,1127161866,ethereum
00:00.0,13.93254349,9026418.665,1134738652,ethereum
00:00.0,12.29566056,38649828.67,1001816707,ethereum
00:00.0,12.8004961,24102058.67,1043352936,ethereum
00:00.0,13.3356267,25109656.27,1087390815,ethereum
00:00.0,12.32964596,16090108.05,1005775063,ethereum
00:00.0,12.0179825,12572639.31,980549295.6,ethereum
00:00.0,11.82516103,8919743.271,965373887.5,ethereum
00:00.0,11.42173873,10816581.46,932812328.2,ethereum
00:00.0,10.5408605,40761274.6,861199508.1,ethereum
00:00.0,10.51055994,16042852.43,859068161.5,ethereum
00:00.0,10.09893127,13787778.17,825747093.1,ethereum
00:00.0,11.39547875,17821594.5,932118254.1,ethereum
00:00.0,10.99572235,14035737.81,899784687.8,ethereum
00:00.0,10.95729434,4559501.886,896985032.1,ethereum
00:00.0,10.51545171,11938095.54,861156597.7,ethereum
00:00.0,10.60619361,8944484.246,868920981.1,ethereum
00:00.0,10.48905469,6087112.236,859665552.2,ethereum
00:00.0,11.24297096,13698700.02,921808085.7,ethereum
00:00.0,11.32509705,13798764.39,928901844.3,ethereum
00:00.0,11.70171602,10138776.97,960169025.2,ethereum
00:00.0,11.31478741,20447413.6,928781022.9,ethereum
00:00.0,11.02255634,13898138.25,905150788.2,ethereum
00:00.0,11.58250142,20242192.24,951503951.3,ethereum
00:00.0,12.15278827,29894784.28,998549464.8,ethereum
00:00.0,12.60591713,24473811.51,1036388808,ethereum
00:00.0,14.31987737,72391413.22,1177755541,ethereum
00:00.0,14.38972534,72744516.35,1183972888,ethereum
00:00.0,12.80385181,71639748.4,1053890907,ethereum
00:00.0,13.81663068,33694267.53,1137688271,ethereum
00:00.0,11.77164176,76432695,969670072.7,ethereum
00:00.0,12.9663334,48754958.64,1068505615,ethereum
00:00.0,12.88314961,19481593.53,1062067696,ethereum
00:00.0,12.84003764,10125341.28,1058924003,ethereum
00:00.0,12.54708178,8150653.893,1035160533,ethereum
00:00.0,11.86840841,20238765.45,979546057,ethereum
00:00.0,10.96839785,17147499.53,905616046.1,ethereum
00:00.0,8.352592748,60708724.34,689901283.2,ethereum
00:00.0,10.22174782,44330639.68,844612892.3,ethereum
00:00.0,11.03216022,29307740.66,911931922.1,ethereum
00:00.0,10.94001411,10956639.35,904674489.4,ethereum
00:00.0,10.89863635,11692994.42,901592852.5,ethereum
00:00.0,10.92030806,11883004.41,903742755.8,ethereum
00:00.0,11.24580512,10967961.76,931042241.5,ethereum
00:00.0,12.19121871,29672733.52,1009705614,ethereum
00:00.0,12.1412228,23499542.87,1005960651,ethereum
00:00.0,11.98814019,24164966.87,993657811,ethereum
00:00.0,11.97372013,24135899.78,992852191.9,ethereum
00:00.0,11.57747267,6655535.198,960366408.5,ethereum
00:00.0,11.25990352,7543085.399,934377927.9,ethereum
00:00.0,11.23080705,5064027.898,932326143.3,ethereum
00:00.0,10.25082245,5249879.805,851307063.5,ethereum
00:00.0,10.73534634,5256928.972,891887550.2,ethereum
00:00.0,10.72421681,4567012.374,891315247,ethereum
00:00.0,10.71834472,3192133.227,891164434.8,ethereum
00:00.0,11.26275448,5076175.104,936793411.7,ethereum
00:00.0,11.15404431,3197471.331,928118646.5,ethereum
00:00.0,11.06137739,4831490.758,920760944.8,ethereum
00:00.0,11.01254308,4721007.823,917054933.5,ethereum
00:00.0,11.01381199,3221362.082,917509231.7,ethereum
00:00.0,11.33912744,6231804.81,944980815,ethereum
00:00.0,11.25681266,4403460.385,938479976.3,ethereum
00:00.0,11.14950759,1903199.561,929893628.9,ethereum
00:00.0,10.91304108,4055631.7,910522226.9,ethereum
00:00.0,10.90629059,5810173.644,910306587.9,ethereum
00:00.0,11.21087731,5550355.265,936081383,ethereum
00:00.0,11.49662475,7446354.073,960315422.3,ethereum
00:00.0,12.00287748,19546439.79,1002979070,ethereum
00:00.0,12.0910428,7683911.542,1010736311,ethereum
00:00.0,11.79758522,10099601.67,986576697.7,ethereum
00:00.0,11.66257954,5035842.952,975664137.5,ethereum
00:00.0,11.75189748,3788155.073,983510024.4,ethereum
00:00.0,11.68475544,4815696.85,978261092.6,ethereum
00:00.0,11.55002542,4664621.634,967355053.6,ethereum
00:00.0,11.33639873,7944145.033,949823761.6,ethereum
00:00.0,11.63011682,3826059.408,974812003.6,ethereum
00:00.0,12.11783086,4731455.713,1016072617,ethereum
00:00.0,11.59605625,6472336.881,972702164.3,ethereum
00:00.0,11.84714198,4554653.825,994145301.6,ethereum
00:00.0,11.88172946,6637362.777,997422104.4,ethereum
00:00.0,11.91200801,3846492.756,1000350301,ethereum
00:00.0,11.90147841,4500681.3,999855875.9,ethereum
00:00.0,12.52236928,14494427.65,1052421113,ethereum
00:00.0,12.6845428,6237001.347,1066458048,ethereum
00:00.0,12.36905214,18914756.79,1040236011,ethereum
00:00.0,13.16016806,11627825.02,1107285960,ethereum
00:00.0,14.30804658,28747263.94,1204332733,ethereum
00:00.0,13.7051798,25166170.47,1154027780,ethereum
00:00.0,13.23380274,23902556.17,1114753106,ethereum
00:00.0,13.31899332,7256064.667,1122387372,ethereum
00:00.0,12.85960577,7988975.036,1084102059,ethereum
00:00.0,13.04559864,4488914.611,1100233097,ethereum
00:00.0,12.8187464,5602575.391,1081499008,ethereum
00:00.0,13.0747268,5399539.835,1103562692,ethereum
00:00.0,13.31398944,6516563.112,1124190331,ethereum
00:00.0,13.09665701,4241372.339,1106268658,ethereum
00:00.0,13.19481816,4568583.276,1114978390,ethereum
00:00.0,13.26982722,4727545.881,1121767153,ethereum
00:00.0,13.19790993,2764266.959,1116158963,ethereum
00:00.0,13.47060009,5821790.035,1139675568,ethereum
00:00.0,13.26196221,6702196.698,1122448916,ethereum
00:00.0,13.05665085,6285719.065,1105495725,ethereum
00:00.0,12.82612846,9120081.098,1086400169,ethereum
00:00.0,12.65567928,6504030.817,1072424202,ethereum
00:00.0,12.17587496,8853947.553,1032213087,ethereum
00:00.0,12.02951923,5440893.662,1020207839,ethereum
00:00.0,11.83783209,9479462.929,1004236336,ethereum
00:00.0,11.75026727,8989864.764,997294452.4,ethereum
00:00.0,11.85468766,7565516.582,1006549794,ethereum
00:00.0,11.96064221,6550532.314,1015964124,ethereum
00:00.0,11.91608947,3393733.081,1012567916,ethereum
00:00.0,11.94460517,3047472.234,1015379674,ethereum
00:00.0,11.93031339,2051473.398,1014551966,ethereum
00:00.0,11.9749844,4329663.894,1018744183,ethereum
00:00.0,12.50951126,14699505.27,1064628048,ethereum
00:00.0,11.97380616,7727576.68,1019440134,ethereum
00:00.0,12.01652208,4811381.152,1023487873,ethereum
00:00.0,12.09057597,2496841.179,1030182193,ethereum
00:00.0,12.04503828,3995386.224,1026687902,ethereum
00:00.0,11.93380041,2843471.079,1017581342,ethereum
00:00.0,11.89053545,2417942.61,1014274172,ethereum
00:00.0,11.27271153,13528339.24,961902672.7,ethereum
00:00.0,11.49725737,6113958.131,981270911.3,ethereum
00:00.0,11.4566734,8682323.138,978335224.2,ethereum
00:00.0,11.52358438,8907341.459,984269328.4,ethereum
00:00.0,10.33681968,21618613.51,883346994.5,ethereum
00:00.0,11.18655716,12714282.57,956201948.7,ethereum
00:00.0,10.8807026,9254943.7,930359100.2,ethereum
00:00.0,10.79218738,17471506.38,923284106.1,ethereum
00:00.0,10.7835854,7632829.944,922879134.3,ethereum
00:00.0,10.8116301,11623516.37,925622888.1,ethereum
00:00.0,11.12999566,5924309.345,953223436.3,ethereum
00:00.0,11.06605826,3076392.295,948094434.5,ethereum
00:00.0,10.92076284,3218494.77,935993553,ethereum
00:00.0,10.87420083,2949427.103,932357915.6,ethereum
00:00.0,10.8901055,4085085.336,934033643.9,ethereum
00:00.0,10.66491816,12761164.95,915091038.3,ethereum
00:00.0,10.51928139,2902119.123,902927283.2,ethereum
00:00.0,10.29308735,4630773.471,883831055.8,ethereum
00:00.0,9.664325241,7585168.214,830154646.5,ethereum
00:00.0,10.11071946,7517444.686,868826185.3,ethereum
00:00.0,9.991652804,2576156.68,858907304.3,ethereum
00:00.0,10.20008386,4844767.74,877146449.8,ethereum
00:00.0,10.02536762,7762025.467,862443066.9,ethereum
00:00.0,9.963977985,5552737.539,857469645,ethereum
00:00.0,9.453697368,8802335.675,813868305.4,ethereum
00:00.0,9.667305807,3851758.817,832570726.9,ethereum
00:00.0,9.530496491,4110666.002,821098057.2,ethereum
00:00.0,9.575907933,2465979.656,825310560.9,ethereum
00:00.0,9.812491502,9216379.378,846010291.5,ethereum
00:00.0,9.753493133,3470748.247,841238275.5,ethereum
00:00.0,9.180997416,13786747.08,792161484.5,ethereum
00:00.0,9.335116894,6006996.216,805772134.2,ethereum
00:00.0,9.288306187,2161817.279,802029049.7,ethereum
00:00.0,8.907402683,6689742.925,769442732.5,ethereum
00:00.0,8.708452467,4477356.374,752553451.4,ethereum
00:00.0,8.158494316,13917166.75,705297428,ethereum
00:00.0,8.650154047,9134285.157,748071852.9,ethereum
00:00.0,8.439785439,4918051.799,730151014.2,ethereum
00:00.0,7.637917965,15380798.55,661018149.2,ethereum
00:00.0,7.892622837,10486224.2,683319039.1,ethereum
00:00.0,7.46913219,6571191.49,646883448.7,ethereum
00:00.0,6.815609222,15221226.68,590496504.2,ethereum
