Exchange,Volume,ds
Gemini,31688125.29,2023-04-13
Binance,8118405152,2023-04-12
Coinbase_Exchange,1308114431,2023-04-12
MEXC_Global,1168942785,2023-04-12
OKX,953381024.6,2023-04-12
Gate.io,830786590.9,2023-04-12
KuCoin,717343692,2023-04-12
Kraken,645723671.4,2023-04-12
Bitget,606898269.9,2023-04-12
Bybit,598206740.9,2023-04-12
Huobi,475180843,2023-04-12
Binance US,273969442.3,2023-04-12
Bitfinex,227731115.4,2023-04-12
Bitstamp,147603568.2,2023-04-12
Gemini,31848191.24,2023-04-12
Binance,11423420545,2023-04-11
MEXC_Global,1576835894,2023-04-11
Coinbase_Exchange,1570966949,2023-04-11
OKX,1375917504,2023-04-11
Gate.io,1257890619,2023-04-11
Kraken,908598826,2023-04-11
Bybit,828128550.4,2023-04-11
KuCoin,811549707.4,2023-04-11
Bitget,631367593.1,2023-04-11
Huobi,612327171.7,2023-04-11
Binance US,395392112,2023-04-11
Bitfinex,279276977.6,2023-04-11
Bitstamp,213021225.4,2023-04-11
Gemini,40642991.96,2023-04-11
Binance,3879403257,2023-04-10
Coinbase_Exchange,538316354.1,2023-04-10
MEXC_Global,522682146.3,2023-04-10
Bitget,442691380.9,2023-04-10
KuCoin,421590925.9,2023-04-10
Gate.io,408566142.1,2023-04-10
OKX,407701517.7,2023-04-10
Huobi,388061706.8,2023-04-10
Bybit,352622284.1,2023-04-10
Kraken,268743536.2,2023-04-10
Binance US,131582378.9,2023-04-10
Bitfinex,93470763.44,2023-04-10
Bitstamp,70857922.5,2023-04-10
Gemini,9965517.483,2023-04-10
Binance,2907853951,2023-04-09
Coinbase_Exchange,494115192,2023-04-09
Bitget,414976986.2,2023-04-09
MEXC_Global,390564470.4,2023-04-09
KuCoin,389130890.3,2023-04-09
Huobi,378381555.6,2023-04-09
Gate.io,306245751.2,2023-04-09
OKX,305597732.8,2023-04-09
Bybit,250430339.2,2023-04-09
Kraken,166093169.1,2023-04-09
Binance US,98322403.61,2023-04-09
Bitfinex,47794017.05,2023-04-09
Bitstamp,45900002.79,2023-04-09
Gemini,7987009.201,2023-04-09
Binance,2719119819,2023-04-08
Coinbase_Exchange,447324860.3,2023-04-08
Bitget,421235600,2023-04-08
MEXC_Global,365655226.8,2023-04-08
Huobi,361642204.5,2023-04-08
KuCoin,347536068.8,2023-04-08
Gate.io,286368736.1,2023-04-08
OKX,285762880.8,2023-04-08
Bybit,238747836.2,2023-04-08
Kraken,160114192.3,2023-04-08
Binance US,92051689,2023-04-08
Bitfinex,41768214.38,2023-04-08
Bitstamp,35269674.78,2023-04-08
Gemini,10767498.04,2023-04-08
Binance,4305445443,2023-04-07
Coinbase_Exchange,767512378.2,2023-04-07
MEXC_Global,578977106.6,2023-04-07
KuCoin,577285665.3,2023-04-07
Bybit,471411319.3,2023-04-07
Bitget,470213156.9,2023-04-07
Gate.io,453435532.7,2023-04-07
OKX,452475774.4,2023-04-07
Huobi,440633730.9,2023-04-07
Kraken,326973562.3,2023-04-07
Binance US,145754563.2,2023-04-07
Bitfinex,87696167.01,2023-04-07
Bitstamp,67941282.24,2023-04-07
Gemini,17276765.48,2023-04-07
Binance,5875071999,2023-04-06
Coinbase_Exchange,1117294378,2023-04-06
MEXC_Global,779730671.2,2023-04-06
Bybit,682392650.6,2023-04-06
KuCoin,653944919.8,2023-04-06
Gate.io,618743387.1,2023-04-06
OKX,617433899.5,2023-04-06
Bitget,593025643,2023-04-06
Huobi,524993804.4,2023-04-06
Kraken,446177357.9,2023-04-06
Binance US,196293117.2,2023-04-06
Bitfinex,118911151.1,2023-04-06
Bitstamp,111627458.2,2023-04-06
Gemini,30255231.93,2023-04-06
Binance,7313861085,2023-04-05
Coinbase_Exchange,1331125549,2023-04-05
MEXC_Global,919546636.7,2023-04-05
Gate.io,770272152.6,2023-04-05
OKX,768641932.2,2023-04-05
KuCoin,702887239.2,2023-04-05
Bybit,697768535.3,2023-04-05
Bitget,565964689,2023-04-05
Kraken,555445078.4,2023-04-05
Huobi,527231918.1,2023-04-05
Binance US,247599948.7,2023-04-05
Bitstamp,138964957.8,2023-04-05
Bitfinex,129959835.8,2023-04-05
Gemini,30890666.85,2023-04-05
Binance,7863306908,2023-04-04
Coinbase_Exchange,1630673108,2023-04-04
Bybit,936435565.7,2023-04-04
KuCoin,935128832,2023-04-04
Gate.io,828138097.9,2023-04-04
OKX,826385307.5,2023-04-04
MEXC_Global,746467241.2,2023-04-04
Kraken,597172206.9,2023-04-04
Huobi,590198145.9,2023-04-04
Bitget,571076899.1,2023-04-04
Binance US,266200404.9,2023-04-04
Bitfinex,163145731.8,2023-04-04
Bitstamp,149404353.5,2023-04-04
Gemini,37282409.81,2023-04-04
Binance,5218114850,2023-04-03
Coinbase_Exchange,936554392.8,2023-04-03
MEXC_Global,701708877.9,2023-04-03
KuCoin,681541733.8,2023-04-03
Bybit,674524493,2023-04-03
Gate.io,549554958.1,2023-04-03
OKX,548391750.5,2023-04-03
Huobi,449461123.8,2023-04-03
Bitget,444945356.4,2023-04-03
Kraken,396285394.7,2023-04-03
Binance US,176651359.7,2023-04-03
Bitfinex,107081523.5,2023-04-03
Bitstamp,99145368.43,2023-04-03
Gemini,19679683.26,2023-04-03
Binance,2728283129,2023-04-02
Coinbase_Exchange,569144718.3,2023-04-02
Bitget,466213119.1,2023-04-02
Huobi,385489113.8,2023-04-02
MEXC_Global,366887433.6,2023-04-02
KuCoin,365815680.6,2023-04-02
Bybit,322125468.8,2023-04-02
Gate.io,287333977.3,2023-04-02
OKX,286725914.6,2023-04-02
Kraken,207197086.6,2023-04-02
Binance US,92361838.75,2023-04-02
Bitfinex,64290459.39,2023-04-02
Bitstamp,34629284.77,2023-04-02
Gemini,10378962.44,2023-04-02
Binance,4887756226,2023-04-01
Coinbase_Exchange,944985406.8,2023-04-01
MEXC_Global,657283742.9,2023-04-01
Bitget,640116364.3,2023-04-01
KuCoin,592176792.2,2023-04-01
Gate.io,514762726.3,2023-04-01
OKX,513673067.8,2023-04-01
Bybit,480460084.8,2023-04-01
Huobi,430920982.8,2023-04-01
Kraken,371196672,2023-04-01
Binance US,165467791.3,2023-04-01
Bitstamp,92868230.87,2023-04-01
Bitfinex,86523826.66,2023-04-01
Gemini,19648525.75,2023-04-01
Binance,6679328980,2023-03-31
Coinbase_Exchange,1318462076,2023-03-31
MEXC_Global,898206459.1,2023-03-31
Bybit,803103868.7,2023-03-31
Bitget,765497774.3,2023-03-31
KuCoin,720191576.9,2023-03-31
Gate.io,703445216.8,2023-03-31
OKX,701956588.7,2023-03-31
Huobi,540446369.5,2023-03-31
Kraken,507256124,2023-03-31
Binance US,226118829.8,2023-03-31
Bitstamp,126908519,2023-03-31
Bitfinex,122091820.4,2023-03-31
Gemini,23486459.1,2023-03-31
Binance,8033124270,2023-03-30
Coinbase_Exchange,1278916651,2023-03-30
MEXC_Global,1080258803,2023-03-30
KuCoin,898280559.2,2023-03-30
Gate.io,846022706,2023-03-30
Bybit,845578840.5,2023-03-30
OKX,844232066.9,2023-03-30
Bitget,720761874.3,2023-03-30
Kraken,610068992.6,2023-03-30
Huobi,533083825.3,2023-03-30
Binance US,271949482.3,2023-03-30
Bitfinex,219768661.2,2023-03-30
Bitstamp,152631006.6,2023-03-30
Gemini,29637038.61,2023-03-30
Binance,8295766693,2023-03-29
Coinbase_Exchange,1382328701,2023-03-29
MEXC_Global,1073486599,2023-03-29
Bybit,915484829.1,2023-03-29
KuCoin,885538235.4,2023-03-29
OKX,871834194.7,2023-03-29
Bitget,712302829.8,2023-03-29
Kraken,630015137.2,2023-03-29
Huobi,551351696.1,2023-03-29
Binance US,280840790.4,2023-03-29
Bitfinex,158441642.6,2023-03-29
Bitstamp,157621363.4,2023-03-29
Gemini,35524378.72,2023-03-29
Binance,8455747547,2023-03-28
Coinbase_Exchange,1302043540,2023-03-28
Gate.io,890531818.3,2023-03-28
OKX,888647044.1,2023-03-28
Bybit,869498104.9,2023-03-28
